ward_no,date,population,wbgt_max,predicted_admissions,ImpactTier
W52,2026-09-01,10805,27.2,0.6,Green
W53,2026-08-28,13923,29.6,1.4,Yellow
W53,2026-08-29,13923,29.0,1.4,Yellow
W53,2026-08-30,13923,28.4,1.3,Yellow
W53,2026-08-31,13923,27.9,1.2,Yellow
W53,2026-09-01,13923,27.9,1.1,Yellow
W54,2026-08-28,13318,29.6,1.4,Yellow
W54,2026-08-29,13318,29.0,1.4,Yellow
W54,2026-08-30,13318,28.4,1.3,Yellow
W54,2026-08-31,13318,27.9,1.1,Yellow
W54,2026-09-01,13318,27.9,1.0,Yellow
W55,2026-08-28,11398,29.3,1.0,Green
W55,2026-08-29,11398,28.6,1.0,Green
W55,2026-08-30,11398,28.1,0.9,Green
W55,2026-08-31,11398,27.6,0.8,Green
W55,2026-09-01,11398,27.6,0.8,Green
W56,2026-08-28,11228,29.3,1.1,Yellow
W56,2026-08-29,11228,28.7,1.1,Yellow
W56,2026-08-30,11228,28.1,1.0,Yellow
W56,2026-08-31,11228,27.6,0.9,Green
W56,2026-09-01,11228,27.6,0.9,Green
W57,2026-08-28,11325,29.9,1.3,Yellow
W57,2026-08-29,11325,29.3,1.3,Yellow
W57,2026-08-30,11325,28.7,1.3,Yellow
W57,2026-08-31,11325,28.2,1.0,Yellow
W57,2026-09-01,11325,28.2,1.0,Yellow
W58,2026-08-28,11998,29.2,1.0,Green
W58,2026-08-29,11998,28.5,1.0,Green
W58,2026-08-30,11998,28.0,0.9,Green
W58,2026-08-31,11998,27.5,0.8,Green
W58,2026-09-01,11998,27.5,0.8,Green
W59,2026-08-28,11426,29.0,0.9,Green
W59,2026-08-29,11426,28.4,0.9,Green
W59,2026-08-30,11426,27.8,0.8,Green
W59,2026-08-31,11426,27.3,0.8,Green
W59,2026-09-01,11426,27.3,0.7,Green
W6,2026-08-28,13547,28.9,1.0,Green
W6,2026-08-29,13547,28.3,1.0,Green
W6,2026-08-30,13547,27.8,0.9,Green
W6,2026-08-31,13547,27.2,0.9,Green
W6,2026-09-01,13547,27.2,0.8,Green
W60,2026-08-28,15459,29.3,1.5,Yellow
W60,2026-08-29,15459,28.7,1.5,Yellow
W60,2026-08-30,15459,28.2,1.4,Yellow
W60,2026-08-31,15459,27.7,1.2,Yellow
W60,2026-09-01,15459,27.7,1.2,Yellow
W61,2026-08-28,13522,29.5,1.3,Yellow
W61,2026-08-29,13522,28.9,1.3,Yellow
W61,2026-08-30,13522,28.3,1.2,Yellow
W61,2026-08-31,13522,27.8,1.0,Yellow
W61,2026-09-01,13522,27.8,1.0,Yellow
W62,2026-08-28,10979,29.0,0.8,Green
W62,2026-08-29,10979,28.3,0.8,Green
W62,2026-08-30,10979,27.8,0.8,Green
W62,2026-08-31,10979,27.3,0.7,Green
W62,2026-09-01,10979,27.3,0.7,Green
W63,2026-08-28,12241,29.2,1.0,Yellow
W63,2026-08-29,12241,28.6,1.0,Yellow
W63,2026-08-30,12241,28.0,1.0,Green
W63,2026-08-31,12241,27.5,0.9,Green
W63,2026-09-01,12241,27.5,0.8,Green
W64,2026-08-28,11236,28.9,0.8,Green
W64,2026-08-29,11236,28.3,0.7,Green
W64,2026-08-30,11236,27.8,0.8,Green
W64,2026-08-31,11236,27.2,0.7,Green
W64,2026-09-01,11236,27.2,0.6,Green
W65,2026-08-28,12055,29.1,0.9,Green
W65,2026-08-29,12055,28.5,0.9,Green
W65,2026-08-30,12055,27.9,0.9,Green
W65,2026-08-31,12055,27.4,0.8,Green
W65,2026-09-01,12055,27.4,0.7,Green
W66,2026-08-28,11707,29.5,1.2,Yellow
W66,2026-08-29,11707,28.9,1.2,Yellow
W66,2026-08-30,11707,28.3,1.1,Yellow
W66,2026-08-31,11707,27.8,0.9,Green
W66,2026-09-01,11707,27.8,0.9,Green
W67,2026-08-28,11938,28.9,0.8,Green
W67,2026-08-29,11938,28.3,0.8,Green
W67,2026-08-30,11938,27.8,0.8,Green
W67,2026-08-31,11938,27.2,0.8,Green
W67,2026-09-01,11938,27.2,0.7,Green
W7,2026-08-28,13698,29.3,1.2,Yellow
W7,2026-08-29,13698,28.7,1.2,Yellow
W7,2026-08-30,13698,28.1,1.1,Yellow
W7,2026-08-31,13698,27.6,1.0,Yellow
W7,2026-09-01,13698,27.6,1.0,Green
W8,2026-08-28,13529,29.2,1.2,Yellow
W8,2026-08-29,13529,28.6,1.2,Yellow
W8,2026-08-30,13529,28.0,1.1,Yellow
W8,2026-08-31,13529,27.5,1.0,Green
W8,2026-09-01,13529,27.5,0.9,Green
W9,2026-08-28,13932,28.9,1.1,Yellow
W9,2026-08-29,13932,28.3,1.1,Yellow
W9,2026-08-30,13932,27.8,1.0,Yellow
W9,2026-08-31,13932,27.3,1.0,Green
W9,2026-09-01,13932,27.3,0.9,Green
