ward_no,centroid_lat,centroid_lon,zone,modis_lst_day_c,modis_lst_night_c,surface_air_gradient_c,uhi_anomaly_c,uhi_classification,sentinel2_ndvi,satellite_tree_cover_pct,nasa_solar_radiation_wm2,nasa_source
W19,20.291154,85.862636,North Zone,45.9,29.7,7.3,4.7,EXTREME_HOTSPOT,0.362,30.1,907.5,NASA_POWER_CERES_SATELLITE
W31,20.283109,85.854675,South-East Zone,47.3,30.3,8.7,6.1,EXTREME_HOTSPOT,0.217,13.5,907.5,NASA_POWER_CERES_SATELLITE
W33,20.276747,85.855329,South-East Zone,47.2,30.2,8.6,6.0,EXTREME_HOTSPOT,0.21,12.6,907.5,NASA_POWER_CERES_SATELLITE
W42,20.265985,85.847944,South-East Zone,47.9,30.5,9.3,6.7,EXTREME_HOTSPOT,0.178,9.0,907.5,NASA_POWER_CERES_SATELLITE
W43,20.265697,85.854408,South-East Zone,47.2,30.3,8.6,6.0,EXTREME_HOTSPOT,0.208,12.4,907.5,NASA_POWER_CERES_SATELLITE
W45,20.259061,85.847348,South-East Zone,47.3,30.3,8.7,6.1,EXTREME_HOTSPOT,0.195,10.9,907.5,NASA_POWER_CERES_SATELLITE
W54,20.246018,85.833845,South-East Zone,47.0,30.1,8.4,5.8,EXTREME_HOTSPOT,0.232,15.2,907.5,NASA_POWER_CERES_SATELLITE
W20,20.3042,85.812673,North Zone,46.5,29.9,7.9,5.3,EXTREME_HOTSPOT,0.381,32.3,907.5,NASA_POWER_CERES_SATELLITE
W55,20.251056,85.8351,South-East Zone,47.3,30.3,8.7,6.1,EXTREME_HOTSPOT,0.207,12.3,907.5,NASA_POWER_CERES_SATELLITE
W41,20.269115,85.844894,South-East Zone,47.9,30.5,9.3,6.7,EXTREME_HOTSPOT,0.158,6.7,907.5,NASA_POWER_CERES_SATELLITE
W47,20.275568,85.81618,South-West Zone,47.2,30.2,8.6,6.0,EXTREME_HOTSPOT,0.259,18.3,907.5,NASA_POWER_CERES_SATELLITE
W48,20.276006,85.809271,South-West Zone,46.9,30.1,8.3,5.7,EXTREME_HOTSPOT,0.294,22.3,907.5,NASA_POWER_CERES_SATELLITE
W52,20.250106,85.818217,South-West Zone,46.6,30.0,8.0,5.4,EXTREME_HOTSPOT,0.306,23.7,907.5,NASA_POWER_CERES_SATELLITE
W53,20.25292,85.831536,South-East Zone,48.2,30.6,9.6,7.0,EXTREME_HOTSPOT,0.198,11.3,907.5,NASA_POWER_CERES_SATELLITE
W4,20.334513,85.890261,North Zone,44.9,29.3,6.3,3.7,MODERATE_UHI,0.57,54.0,907.5,NASA_POWER_CERES_SATELLITE
W5,20.322945,85.863802,North Zone,45.1,29.4,6.5,3.9,MODERATE_UHI,0.484,44.2,907.5,NASA_POWER_CERES_SATELLITE
W10,20.315126,85.85165,North Zone,46.1,29.8,7.5,4.9,EXTREME_HOTSPOT,0.421,36.9,907.5,NASA_POWER_CERES_SATELLITE
W3,20.345021,85.833197,North Zone,44.3,29.1,5.7,3.1,MODERATE_UHI,0.553,52.1,907.5,NASA_POWER_CERES_SATELLITE
W2,20.358564,85.823294,North Zone,44.3,29.1,5.7,3.1,MODERATE_UHI,0.57,54.0,907.5,NASA_POWER_CERES_SATELLITE
W1,20.351111,85.809047,North Zone,46.7,29.9,8.1,5.5,EXTREME_HOTSPOT,0.57,54.0,907.5,NASA_POWER_CERES_SATELLITE
W15,20.301539,85.79947,South-West Zone,46.2,29.8,7.6,5.0,EXTREME_HOTSPOT,0.395,33.9,907.5,NASA_POWER_CERES_SATELLITE
W22,20.300241,85.777148,South-West Zone,45.8,29.6,7.2,4.6,EXTREME_HOTSPOT,0.485,44.3,907.5,NASA_POWER_CERES_SATELLITE
W23,20.284314,85.771844,South-West Zone,45.3,29.5,6.7,4.1,EXTREME_HOTSPOT,0.485,44.3,907.5,NASA_POWER_CERES_SATELLITE
W49,20.261513,85.783807,South-West Zone,45.6,29.6,7.0,4.4,EXTREME_HOTSPOT,0.426,37.5,907.5,NASA_POWER_CERES_SATELLITE
W66,20.236187,85.788466,South-West Zone,45.2,29.4,6.6,4.0,EXTREME_HOTSPOT,0.46,41.4,907.5,NASA_POWER_CERES_SATELLITE
W62,20.244248,85.808747,South-West Zone,46.1,29.8,7.5,4.9,EXTREME_HOTSPOT,0.358,29.7,907.5,NASA_POWER_CERES_SATELLITE
W58,20.235138,85.846,South-East Zone,46.3,29.9,7.7,5.1,EXTREME_HOTSPOT,0.296,22.5,907.5,NASA_POWER_CERES_SATELLITE
W59,20.225193,85.837052,South-East Zone,45.9,29.8,7.3,4.7,EXTREME_HOTSPOT,0.336,27.1,907.5,NASA_POWER_CERES_SATELLITE
W57,20.246106,85.85039,South-East Zone,46.8,30.1,8.2,5.6,EXTREME_HOTSPOT,0.255,17.8,907.5,NASA_POWER_CERES_SATELLITE
W44,20.257265,85.86154,South-East Zone,46.9,30.1,8.3,5.7,EXTREME_HOTSPOT,0.258,18.2,907.5,NASA_POWER_CERES_SATELLITE
W32,20.276429,85.866363,South-East Zone,46.8,30.1,8.2,5.6,EXTREME_HOTSPOT,0.264,18.9,907.5,NASA_POWER_CERES_SATELLITE
W18,20.300004,85.87562,North Zone,45.4,29.5,6.8,4.2,EXTREME_HOTSPOT,0.44,39.1,907.5,NASA_POWER_CERES_SATELLITE
W14,20.326242,85.80488,North Zone,45.2,29.4,6.6,4.0,EXTREME_HOTSPOT,0.495,45.4,907.5,NASA_POWER_CERES_SATELLITE
W8,20.327533,85.814952,North Zone,45.0,29.4,6.4,3.8,MODERATE_UHI,0.481,43.8,907.5,NASA_POWER_CERES_SATELLITE
W60,20.237729,85.834893,South-East Zone,46.5,30.0,7.9,5.3,EXTREME_HOTSPOT,0.273,19.9,907.5,NASA_POWER_CERES_SATELLITE
W61,20.237187,85.823582,South-East Zone,46.7,30.0,8.1,5.5,EXTREME_HOTSPOT,0.283,21.0,907.5,NASA_POWER_CERES_SATELLITE
W67,20.224661,85.816173,South-East Zone,46.2,29.8,7.6,5.0,EXTREME_HOTSPOT,0.354,29.2,907.5,NASA_POWER_CERES_SATELLITE
W65,20.244531,85.78462,South-West Zone,44.9,29.4,6.3,3.7,MODERATE_UHI,0.452,40.5,907.5,NASA_POWER_CERES_SATELLITE
W64,20.244005,85.795472,South-West Zone,45.7,29.6,7.1,4.5,EXTREME_HOTSPOT,0.408,35.4,907.5,NASA_POWER_CERES_SATELLITE
